score,ulasan
1,"Di awal saya kira kuota saya yg abis. Udh isi paket full loadiiinggggg , pake wifi loadinggggg juga, sumpa nntn 1 film doang kaga kelar kelar seharian jadi keselll emosii , udh mah pertama nyoba malah bikin kapok.."
1,Aplikasi streaming legal terburuk! Langganan Premium kog masih disajikan iklan? 😑
1,"Suka ada di iklan tapi kualitas rendah bangett mau update lama,pas nonton jga muter terus haduhh"
1,aplikasi sampag!!!!!
1,"Trabaik skli 🤣 Coba filem"" nya tuu tambah perpanjang Jagan hanya setengah²gitu"
1,👎👎👎👎👎👎👎👎👎👎
1,INI APLIKASI PARAH BANGET.. SAYA UNINSTAL LAGI..KARENA IKLAN NYA SAMA SEPERTI NONTON TELEVISI... DI AWAL IKLAN.. DI TENGAH2 IKLAN.. PANTAS RATING ANJLOK.. TERLALU SERAKAH.
1,udh beli paket buat nonton bola malah gk bisa nonton live.. percuma bgt sih
1,"Buruk, bad sistem, tidak bisa memutar video, selalu loading terus , jaringan amat, sudah wifi maupun data seluler. Namun tetap saja ketika pas klik video hanya layar hitam dan loading."
1,Uninstall
1,Iklan doang
1,Aplikasi yg sangat tidak bagus 👎
1,Aneh udah bayar laganan platinum tadi malam jadi sekarang tau²gak jadi aneh...
1,jelek cuma bisa nonton fillm indonesia doang fillm luar negri ga ada 🖕👎👎👎👎👎👎
1,"Aplikasi ampas, jgn di download. Nyesal kayak saya. Saya berlangganan 1 bulan 32.000. Trus saya download 30 an film dari aplikasi vidio, buat nonton ntar kalo gak ada internet. Tetapi baru 3 hari setelah download , semua film yg telah di download hilang. Padahal kuota udah banyak habis dan sudah berlangganan ber bayar 32.000 per bulan. APLIKASI PAYAH."
1,"Install aplikasi ini cuma untuk nonton warkop DKI, pas diputer cuma beberapa menit ternyata harus berlangganan. Auto uninstall lagi😁"
1,Tulisan translatenya kecil banget pas nonton film
1,Gambar patah patah parahhv
1,Tolong dong aplikasinya di update jangan malah makin lemot padahal internet lancar
1,"saya sudah berlangganan, dan punya kuota khusus vidio, tapi kenapa kuota vidio gak bisa dipake? Kuota utama malah kesedot sampe habis, dan tersisa kuota vidio yang gak bisa dipake.. Kenapa?????"
1,"loading video terlalu lama , padahal untuk buka YouTube 1080 sangat cepat dan lancar"
1,"Tidak sesuai apa yg di promokan, jangan dowikl gmw nyesel. Bilang nonton film, eh durasix cuma 6 menit. Auto uninstall"
1,"aplikasi ini bagus, tapi sayang Selalu ada keterangan eror dan tidak ada sinyal, tolong diperbaiki lebih lanjut"
1,Payah
1,Developer tolong banget tambahkan histori tonton supaya yang nonton nya belum selesai bisa nonton lewat histori
1,"Ketika saya beli paket berlangganan, dapt 1 hari lancar setelah hari kedua. Paket saya hilang dan tidak ada di status profil saat di cek, mohon maaf tolong di perbaiki karena kami sudah bayar, dan jangan merugikan orang lain. Tolong di perbaiki"
1,Jelek
1,Layanana premium model apa kaya gini iklan bertebaran percuma pake layanan premium
1,Harusnya bintang 5 tapi karena ga bisa nonton f1 lagi jd kecewa
1,Udah bayar mahal mahal server gajelas berhenti sendiri.
1,Pembelian paket jadi mahal
1,paadahal sudah langganN di premium tapi di yg vipp gak bisa di bukA
1,aplikasi busuk
1,"Sudah Bayar Paket PREMIUM, Nonton VIDEO sering Macet²an & Loading Lama. Terus Tontonan Video Tidak Pernah di Update Yang Baru² Masih Saja Video Yg Lama².... TOLONG DI PERBAIKI....."
1,Bego nggk bisa di tonton pake WiFi
1,"film sangat sedikit sekalii!! yg luar maupun dalam negri.. aku sudah coba berlangganan, platinum, premier, dll tetep saja sedikit banget tuh filmnyaa, kalah sama situs film bajakan... huuuu maluu!!!"
1,"Katanya gratis kalo cuma nonton liga 1 pas baca di artikelnya, giliran udh instal harus berlangganan, gimana ini konsepnya?"
1,"Dapet notifikasi promo potongan diklik bukannya dapet potongan malah jadi lebih mahal, aneh"
1,"Aplikasi lawas wkwkwkkwk org mau nonton bola masa mau berlangganan,pdhal bola liga 1"
1,Sering ngelag dan blank.
1,"Yaelah film apaan nih, mana movie film bioskop nya , orang pen nonton movie bioskop bukan drama drama ajg Jangan download dah"
1,Menyedihkan
1,Senang foto hiburan yang hot
1,Maaf saya mau jujur. Saya download apk ini demi nyari 1 video yg ngk ada diyoutube. Malah sama aja ngk ada diaplilasi ini juga. Yang ada iklannnnnn. Pas nyari video apa yg muncul lain juga. Hmm
1,"Nyesel pakai ini apk. , sering error saat pembayaran langganan... pulsa ready banyak tapi tidak bisa untuk mengaktifkan langganan. TOLONG DI PERBAIKI SISTEMNYA"
1,banyak iklan
1,Mau bayar ribet pol oper sana sini auto uninstall
1,Sungguh berguna sekali 🙂
1,TOLONG JANGAN BER BAYA CONTOH LUHAH LIGA INDONESIA HARUS BERBAYAR MAF KALO NONTON TV BOLA GAK BER BAYAR SAYA KASI BINTANG 🌟🌟🌟🌟🌟
1,Apk boot semua apalagi kalau mau menonton bola harus beli paket untung saya baca komen komen orang ternyata yang sudah berlangganan premium pun banyak yang mengeluh.sabgat tidak recommended.saran saya jangan download apk Vidio teman teman
1,"percuma berlangganan, streaming bermasalah terus, gini amat nyari duit, bad quality"
1,"Patah"""
1,"Sudah saya kirim feed back. Tidak bisa play. Smua video gak jalan Padahal sudah update juga saldo udah kepotong langganan. Tidak ada penyelesaian, hanya balas balasan email. Trus apa tujuannya. Tidak paham. Tidak ada perubahan. Bahkan sudah un install lalu install ulang, pakai wifi, coba paket internet beda provider, coba ganti gadget, semua tidak bisa. Sebetulnya ini bagaimana. Padahal langganan premium All your video can not be played."
1,Aplikasi jembotttt
1,Rw aseztrdeh
1,"saya kenapa susah login ya di hp? sedangkan login di laptop bisa, mohon bantuannya"
1,Bad service
1,Utk siaran tv lokalnya gak bersih klo disambungkan di tv
1,"Ni bener² bikin emosi kko nnton live booming terus, padahal jaringan WiFi nya bagus tpi kko setiap nnton live disini booming terus, lelet lemot moga² turun ranting nih aplikasi, sia sia download aplikasi begini"
1,Iklan nya banyak bener
1,Udh nyoba cuma gajelas aplikasinya
1,Banyak iklan apk nya.
1,"Pantesan ratingnya rendah. Anime ataupun film yang di youtube maupun ditempat lain gratis, disini malah disuruh bayar"
1,Reconect mulai dari awal lagi iklan lagi di percepat iklan lagii
1,"Loh, ini gimana sih udah berlangganan kok ttp gabisa nonton konten premiere platinum?"
1,"Kualitas vidio 720p nya burik min tolong di perbaiki, nontong di youtube dgn kualitas yg sama 720p jerni kenapa di video burik min."
1,apk sampah
1,Lemot banget
1,Bisa gak kalau buffering videonya jangan diulang dari awal
1,"Kebanyakan iklan,trs boros kuota padahal 220 p.next update di perbaiki.1 dulu"
1,Saya udah berlangganan platinum tapi nonton timnas matchday kok harus berbayar berlangganan lagi sih????
1,"layar hitam saat nonton nyesel beli paketnya, saran untuk semuanya mending nonton di tempat ilegal aja"
1,Lag
1,"Aplikasi ga guna masa nonton timnas indonesia doang,harus berlanggaan premium 😡😡 !!!!!"
1,Dasar mafia apa apa bayar blog
1,Pertandingan uji coba timnas u 20 aja harus premium hadehh min min itu turnamen uji coba doang lo masa premium
1,"Belom apa"" sudah macet harus beli vocher dulu 🤦🤦"
1,Buruk
1,Aplikasi paling burung yg pernah saya download.ga kaya RCTI+
1,Aplikasi berbayar mending buat netflix aja
1,Lemot
1,"Olahraga jangan dijadikan bisnis, sperti menonton bola harus berlangganan itu sangat curang dan merugikan."
1,"Banyak buffering, abis buffering udah nonton tengah2 balik lagi ke awal, jd pusing nonton nya gak beres2 1 episode doank"
1,"Bayar aja semua, nonton bola timnas sendiri aja bayar besa bgt sama plaform sebelah"
1,Bosok
1,555sz
1,aplikasi sampah saya ingin menonton ulangan full match timnas u20 vs fiji masa harus membeli paket padahal saya cuma mau menonton ulangan saja biasanya gratis! Dasar aplikasi KAPITALIS
1,aplikasi lemott
1,Kalo bukan karna Liga 1 ogah gw pake apk vidio..
1,"Aplikasi paling jelek, gk bisa mengetik dipencarian"
1,Setelah di diperbaharui makin jelek. Baru tdk bisa lg ganti kualitas gambar x
1,Pantasan pasang iklan ditv aplikasi lemot bayar nonton #tidakusahdidowlod
1,Loading parah sinyal nya lemot banget
1,Sekarang kog jadi lemot ya... Padahal sdh berbayar🤨
1,"kenapa,ada apa dengan vidio.kok sekarang banyak yang cuma loading aja.kami mau nonton siaran/film,bukan nonton logo V muter-muter di tengah layar.Tolong segera di perbaiki"
1,Ga ada serial tv Global Tv? Miskin amatt
1,"Sangat parahhhhh, aku udah beli paketan setahun tapi setelah paketan udah 4 bulan paketannya udah gak berlaku.. padahal aku beli hampir ,300an lohhh.. sakit hati banget🙏🙏🙏🙏"
1,"Saya udah beli voucher platinum,knp masih dilakukan pemotongan saldo shopeepay buat paket platinum lagi. Terus paket gua jadi 2bln,buat apa?? Buruk banget nyari untungnya"
1,Tidak banyak duwit untuk nonton vidio
1,we gue mau nonton makanya gak ada we vidio yang gue cari
1,Jelek banget aplikasinya ngeselinnnnnnnnnn😏😡👿
1,Aplikasi penipu
1,"Iklannya mengganggu sekali.... Saat video mulai ada muncul kotak iklan dan kalau mau menghilangkan nya harus tekan tanda silang yang kecil banget, kalau ga ketekan tanda silangnya bisa ketekan iklannya dan kalau kembali muncul lagi dan lagi iklannya...saya nonton highlight sepakbola iklannya sdh byk tayang....seharusnya iklan ga usah juga di tayangkan pada saat nonton highlight gtu...."
1,"Recomended sekali aplikasi ini.. Nomer 1, Bintang 1, gak ada duanya, Yuk didownload , untuk kalian yang ingin merasakan sensasi emosi yang luar biasa.."
1,Ga guna apk bayar
1,Harga berlangganan naik terus. Dimanfaatin sekali saat siaran sepak bola tidak live di TV
1,Jangan sekali beli atau berlangganan..bagi orang yang ber ekonomi seperti saya ..tidak ada manfaatnya dan banyak bikin kecewanya
1,Terlalu bnyk iklan dan sering buffring pdhl minta update sering tolong tingkatkan lg gmna nih aku kan pengemar setia vidio
1,Kenapa nih kok ngebug kaga bisa dibuka padahal buka apk lain bisa... developeer tlong prbaiki
1,"Makin lemot apk Vidio ,,paraaah abiiis"
1,"Parah banyak buferingnya, mahal mahal beli paketnya ternyata jelek aplikasi ini"
1,Lama sekali loading nya
1,"Wifi Full jaringan, data seluler full jaringan kok ga bisa buat nonton🙂 sekarang di tambah apa² harus premium🤣🤣🤣"
1,Gak ada cars 1
1,ini aplikasi kebanyakan loading njir jaringan jelek sedikit langsung ilang siaran bodoh
1,Udah langganan ..flim nya flim lama semua ...nyesal banget langganan di sini..tidak seperti mola tv
1,Kontes fantasy game tiba2 dibatalkan Udah susah buat persiapan malah dibatalkan Mending ga usah diadakan kontes saja
1,"Woy kenapa gx bisa nonton chelsea lawan southamton,, Gx jelas ini ma"
1,Gk guna
1,"Sudah beli paket platinum masa ada panduan beli paket platinum berlangganan lagi, buka film tidak bisa harus beli/berlangganan platinum, padahal kan sudah berlangganan sampai bulan depan. Banyak iklan segala ngga jelas aplikasi vidio, masa baru 1 hari beli paket platinum sudah tidak dapat nonton & harus beli platinum segala macam, aplikasi penipu."
1,Udah di update buat nonton bola videonya tetep patah2. Suruh laporin kendalanya tp udh dilaporin tetep aja ngga ada pengaruhnya.
1,Payah gays
1,"Aplikasi ga jls,,,,,"
1,"Terlalu bnyak iklan yg muncul .. iklan di awal pas buka sih gpp .. udh nonton tv lama tiba"" muncul iklan by aplikasi bkn by channel .. iklannya jga gk nanggung"" ad 9 .. ya kali nungguin 9 iklan tayang smua .. keburu slesai siarannya .."
1,Saya ga ikutan langganan malah saldo gopay saya ke potong terus. Ga ada konfirmasi nya
1,Lemot banget sekarang padahal jaringan internet aman. Mau di hp sama di tv sama aja.. Sebelum2nya nonton film ga ada buffer sama sekali. Sekalinya buffer bukan lanjutin film nya malah ulang dari awal..
1,"Saya kasih tau yah. Ini aplikasi asli parah. Udah beli paket lama masuk. Gak otomatis di sistem. Beli paket 30 hari , tapi cuma di kasih cuma 20 hari aja. Asli parah ini aplikasi. Gila parah. Gak kaya aplikasi lain disney hotsar, neflix , palingan apa balasanya dari komentar saya ini. Palingan di bilang segera hub email kami send feed back itu aja terus sampai botak."
1,"Main fantasy team dibatalkan mulu, hadiah poin vidio jg berkurang"
1,Kepada pihak Video. Tolong gk usah iklan di tv apalagi yg di iklan kn nya itu film² berbau sex. Sudah hancur generasi ini melihat tontonan yang tidak layak di lihat. Anak²yg masih di bawah 20 thnan sudah dengan mudah mengakses film yg tidak pantas seperti film terbarunya zg open b*!!! Semoga di baca pihak video!!
1,"Mau nonton siaran ulang aja tiba-tiba macet..padalan udah pake data / wifi sama aja..minusnya banyak sekarang, pantesan dapet rating jelek, hadeh."
1,Mau download film susah
1,Gak bisa di download
1,udah apl ni boros kuota kebanyakan iklan
1,"Makin ngaco, akun saya sudah berlangganan premiere untuk 1 bulan tapi ketika sedang nonton film selalu muncul notofikasi untuk membeli paket premiere, kecewa"
1,Aplikasi bangkek masa udah beli peket sebulan gk bisa nonton Baru sehari udah suruh beli paket lagi.
1,cape2 download banyak eps tiba2 besoknya ilang semua ga jelas
1,"Aplikasi gajelas bangettttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt, mending jangan download aja dah."
1,"Byk iklan dan mesti keluar"" sendiri buka aplikkasi lama"
1,Jelek buram tidak stabil masak mau nonton harus isi paket dulu sih
1,W udh bayar langganan w bulan baru 1 kali nonton bola masa d suruh langganan lgi
1,Ayolah jangan premium
1,"Percuma beli langganan 65rb, mau nonton aja muter terus. Kuota masih ada, udh ganti pake wifi tetep aja muter"
1,"Bnyak iklan,,"
1,"Udah nonton iklan 5 menit ujung-ujungnya disuruh langganan platinum, kalau tahu gitu ngapain orang disuruh nonton iklan dulu? Dasar PENIPU!"
1,Sering gangguan !!
1,Udah beli paket platinum malah gabisa nonton semuaa kocak
1,Eror anying ijo doang sama suara
1,Ni gimna ya sya dah berlangganan ko ga bisa nonton yang lgi live.sperti nonton bola ga bisa. Padahal sya dah di paketin internet sama berlangganan. Tpi ga bisa nonton yg lgi live. Seperti nonton bola ga bisa di tonton. Percuma dong berlangganan.. Kurang memuaskan.
1,Padahal sudah berlangganan yang satu tahun. Tapi kualitas kaya gini. Makin menurun. Mending di mola dulu lancar terus
1,😐😑😉😌😊😆😅😂😗
1,"Di putar menggunakan komputer gambarnya patah² padahal jaringan bagus banget, aplikasi ampas🤣"
1,Awalnya bisa. Pas langganan premium malah video nya patah2. Terus keluar sendiri dari aplikasi dan gabisa masuk stuck di gambar depan. Huuffhh
1,"Baru mau nonton series yg viral, video nya berenti tapi audio nya jalan aneh masa harus di mundurin 10 detik tapi abis itu tetep sama ah payah 👎👎👎"
1,"Parah sih, buat daftar aja minta ampun susahnya. Nuggu OTP lamanya minta ampun, berulang ulang di coba nggak datang2 OTPnya. 👎"
1,mau nonton aja bola aja harus mbayar koneksi buruk lagi.udah ngeluarin kuota juga hah...mending nonton liga arab aja di aolikasi rcti....tingal donlod gak ribet kayak aplikasi ini...
1,udah bayar tapi lemot 👎
1,"mau nonton timnas aja, harus pake bayar (berlangganan) dulu.. lebih bagusan aplikasi RCTI+, yg kalo ada pertandingan timnas gratis streaming TANPA BAYAR"
1,"Anj.. Gw udah langganan disuruh langganan lagi maksdnya apaan?? Gw udh langganan belom habis masanya.. Eh tau"" suruh langganan lagi mana baru pake nontn 1x coba. Email sama tapi pas masuk gada akun beli prem padhl udh beli gw anj!!"
1,Pea bet da ah udah berlangganan ga bisa di pake
1,Parah bnget nntn timnas aj gk bisa
1,Vidio tolol nonton uji coba timnas saja harus bayar..
1,Mohon maaf saya kasih 1 bintang soal ny pas mau nonton bola masak harus beli paket primeum udh gitu harga ny mahal
1,Jelek
1,Sudah beelangganan tapi tetap tidak bisa di tonton primier league.. Sampah lah..
1,Pelit... aplikasi sebelah bisa kasih free untuk tayangan live timnas Indonesia. Kenapa di sini ga bisa? Ayolah vidio di mana nasionalisme kamu. Kasih free buat timnas. Itung² buat CSR
1,sangat buruk
1,parah asu ...ancur vidio sekarang..jaringan bagus wifi bagus tapi tetap bufering terus. saya udah beli vocer cuma2 kalo ga bisa di puter ... perbaiki pagi dong jangan mau untung aja wahai para orang2 sok pintar
1,Parah. Uninstal jalan ninjaku
1,Buruk sekali. Live tv aja harus bayar. Mending cennel sebelah
1,"Makin kesini makin jelek,error' mulu.apalagi kalo lagi nntn bola"
1,"Apk lawak, beli paket ini itu percuma nglag parah thai"
1,gw cari Veer Zaara malah g ada😒
1,"Ga bagus, lemot. Pdhal Udah langganan. Lagi nonton malah error terus mesti d reload."
1,Udh beli paket masih ada iklah gila kali ini apikasi
1,Untuk negara sendiri aja suruh bayar bulanan menyusahkan aturan jangan di tarif untuj televisi indonesia saat mau liat bola timnas jadi susah suruh bayar bulanan dulu harus banyak di benahi lagi jangan di buat ajang bisnis
1,Kacau udh bli paket malah ga bisaa. Di otak2atik Kburu abis pertandingan nyaa dodol
1,"Mau nonton tim nasional sendiri ja suruh bayar, gimna mau dukung tim nas, mudah2 tim nas ga tayang di indosiar, lebih baik di RCTI mmc masih bisa nonton secara free"
1,Aplikasi lambat
1,Aplikasi buruk percuma sponsor liga inggris juga masih ada link nonton gratissss
1,"bayar,ga kae rcti+ gratis nyesel instalnya"
1,KENAPA G BISA AJG DIPENCET PLAY NYA PDHL SINYAL BAGUSS UD LANGGANAN JUGA TOLOL
1,Makin ke sini makin jelek. Vidio live liga 1 ngebleng ga ad gambarnya.
1,"Redeem Vidio reward di fantasy team susah amat, dari dua Minggu yang lalu selalu sistem sedang diperbaharui terus, ngga selesai²."
1,"Pihak vidio, kenapa untuk bein sport di tidak bisa di putar ya? Layar langsung blank"
1,akhir2_ini klo nonton bola selalu tersendat2_kyk ga ada sinyal padahal kouta bnyak n pake wifi jg di rmh..jadi ga lancar tayangan live nya..tolong di perbaiki lg.jadi ga nikmat nonton bola nya.saya ksih 2 dl bintangnya
1,Baru juga masuk udah beli paket eee malah log out sendiri anjir
1,Mau berlanganan aja susah nya minta ampun saldo udah kepotong tapi masih blm aktif
1,Aku cari film cinta anak sholeh tp gk ada kalo di aplikasi sebelah ada tp video nya gk lengkap jdi aku cari aplikasi lain trs nemu aplikasi ini tp sayang nya gk ada cinta anak sholeh aku download aplikasi ini cuma mau liat cinta anak sholeh dongan gk ada yg lain cuma itu yg aku cri tp gk ada tp semua film ada ko aku kasih bintang 2 dulu yh trimakasih (salam dari Jawa Tengah) 🙏🙏
2,PIDIO JERMAN KKK. .
2,Semua pada koment jelek 😂😂
2,Setelah di perbarui.. Jadi mengecewakan..
2,"Gak stabil, aplikasi berat banget, kaya server gak kuat, kalo banyak yg nonton bersamaan"
2,Terdapat banyak masalah Padahal sudah berlangaganan. Tapi tidak bisa nonton. Untuk apa bayar cuma-cuma
2,Paket terdaftar malah tidak ada padahal udah d bayar
2,Jelek banget kenapa gak bisa bhay lewat pulsa telkomsel selalu pulsa tidak cukup padahal pulsa sudah banyak
2,jelek
2,Saya udh beli paket premium ko g bisa nonton film yang premium ya ah gjls banget
2,Bintang menurun dikarnakan semua pegam banyak yg di banned..3 PP gw pun di banned semua jelasin permasalahanya.
2,"Saya ingin langganan,,tp lewat Web..pembayaran mau paki ovo atau transfer gak bisa..harus lewat debit/ kartu kredit..pilihan pembayaran lain nya uda tdk bisa,,Apa gak bahaya?? Atau bisa2 tiap bulan lgsg main potong,,dan data2 kartu kredit atau atm apa aman??..."
2,Lodingnya lama..perlu perbaikan ..
2,"Saya pakai ini di smart tv, tapi tdk semua tv nasional ada disini"
2,Baru juga bayar ko di suruh bayar lagi sih
2,"Tolong dong berbaiki paket premier saya ga bisa di gunain, baru juga beli satu hari udah gabisa di pake. Rugi dong saya beli paket sebulan baru satu hari ga bisa di gunain"
2,Kebanyakan iklan
2,"Kenapa banyak konten yang premium... Jadi ngga bisa, loading lama"
2,544t434
2,Loading ooom....sering berhenti perbaiki dooong ooom😂🙏
2,"Bayar nya mahal tapi nonton lag banget padahal sinyal bagus, coba perbaikin lagi biar penonton merasa puas"
2,Ga bisa berlangganan pake pulsa payah!!!
2,Ga guna mo nonton harus member dulu....payah hapus aja lah....percuma di download juga
2,Dua bintang dulu
2,Liat review nya bru ngeh trnyta bkan aq aja yg kcewa krena ska loading
2,Tolong flim2 nya lebih lengkap lg. Seperti Disney Hotstar...
2,Aplikasi tidak ada perbaikan dalam sistem sudah berlangganan nonton film eror teurs
2,kumpulan vidio bokef
2,Lelet
2,Pp
2,Kurang subtitel teks bahasa Inggris nya.. Jadi mau belajar bahasa Inggris cari yang lain
2,"Hai kak , kita mau kasih info , saya sudah memakai jaringan WiFi indihome tetapi kenapa lemot yah? Dan juga kurangi iklan nya yah kak! , Kalo bisa iklan nya taro di akhir , karena itu menganggu banget kak. Makasih."
2,Kenapa sih pas download tertulis terjadi kesalahan saat mendownload. Sebelumnya ngga. Padahal mau nonton sambil offline biar ngga keganggu
2,Washtup.terhapus
2,"Sudah berbayar, malah gak bisa juga paket nonton Indonesianya, error' terus. Gak jelas nih aplikasi"
2,Lemot Apk nya
2,Tida ada
2,"Tolong beri kenyamanan pada penonton ,karna jujur aku terganggu sama iklan nya"
2,Sangat disayangkan jika nonton liga satu sekarang harus berbayar
2,Kadang kadang berhenti sendiri
2,"Astaghfirullah, nih aplikasi orang kaya apa gimana sih ?, Sampai sampai nonton ulangan timnas Indonesia aja di duitin ? Padahal aplikasi yg lain aja gak bayar gratis.... Hadeuh..."
2,"Kenapa mekanisme pembayaran ribet,tdk ada tranfer antar bank..."
2,"Siarannya liga Inggris buruk sekali , putus2...kita udah langganan mahal2..., Masih bagusan mola dulu"
2,"Duh ga jelas sy beli paket platinum mobile dr telkomser, tp cuma kepake beberapa hari selebihnya gabisa nonton bola percuma deh. Terlalu banyak S&K."
2,"Buat dv,bahwa ada eror pada saat memutar vidio baru dan tiba² selalu kembali ke halaman utama,itu berulang² kali terjadi ,ya walapun hbs itu bisa,segitu aja info dari saya,mohon di perbaiki !?."
2,"Pengen kembali ke acara awal kenapa ngak bisa setelah aku klik acara anak2 , mohon bantuanya"
2,"Animenya kurang lengkap contoh pokemon season nya ga lengkap masak cuman ada 3 season 17,18,19 itu doank harus nnya kan ada 1, 2 dan seterusnya kasih donk biar kutambahin bintangnya"
2,Susah masuknya
2,Vidio bagaimana sih di update palah kacau udah paketan tetap aj gak bisa muter 2 sampah
2,Lagu e
2,"Streaming nya seru sih, Aku Harap Boys Planet tayang di Video!! Acara favoritku"
2,No nto n.vidio More
2,rcti ga muncul
2,Semoga semakin cepat dan mudah/ jangan banyak iklan ya
2,Kasi dulu tiga deh alnya baru nyoba
2,"Kenapa kok saya ga bisa daftar langganan, padahal saldo saya cukup"
2,kurang lengkap filmny
2,"Semoga gak sering ngebug lagi kalo dipake nonton series, bisa ditambah fitur hapus daftar dan riwayat tontonan biar efisien klo mau nonton lagi. Semoga lebih ramah kuota."
2,Knpa ga ada horor indoneaia
2,Semua seri tv kurang kengkap
2,mantap tapi live citra drama kok cenel nya hilang belum muncul 2 juga nih
2,"Channel Tv di tambah lagi, seperti Tv digital..kalo banyak saya tambah bintangnya.."
2,Mulai jelek jaringan nya gak lancar
2,g ada rcti ny
2,Knp net. Ko ga bisa kbuka
3,Sudah di update aplikasi video tapi kenapa kalo lagi live streaming sekarang jadi lemot
3,Loading nya lama
3,Sistem langganannya gimana ya ? Apa setiap 1 Tah otomatis berhenti sendiri ? Ko blm ada 1 tahun udah harus langganan lagi. Pdahal ngga ngerasa berhenti berlangganan juga.
3,"menurut saya sudah lumayan bagus ,tp ada masalah ketika penayangan vidio nya ada iklan adegan 20+ ,kasihan kalo ada anak kecil yg lihat ,tolong di ganti iklan nya ya.."
3,"Bagus apkny ,tpi iklan nya panjang banget sampai 30 menit dan biasanya 2x lipat .mohon dikurangin iklannya ya kak🙏"
3,Lumayan oke tp tagihan satu bulan kadang sampek 2 kali sampek geram pulsa ilang
3,"ini gimana sih cara aktifin berlangganan premiernya , saya gagal mulu padahal pulsa saya ada 34.000 tapi gagal terus tulisannya pulsa anda tidak cukup , sementara saya pilih yg 30 hari harganya+ppn 32.000 pulsa saya 34.000 tapi gagal mulu"
3,bgss aja klo gaa bayar
3,"Tolong dong diperbaiki server nya, buffering mulu ahir ahir ini, udah bayar mahal tiap bulan nya,"
3,"Bagus, terimakasih"
3,"Versi terbaru malah jadi buruk, gak bisa nonton film, play nya tdk jalan (seperti pause), film nya knp gk bs yg baru2 dan box office sih?"
3,Bagus si tpi iklan ny bnyk poll tolonggg iklan nya di kurangi
3,"3 saja dulu,, buffering terus jadi g enak nontonnya"
3,ko patah patah terus ya pada saat pemutaran film atau strean suara tetap ada tapi record film malah mundur ke belakang tolong bantuannya dong:(
3,sudh tidak ada diskon pengguna baru
3,Kadang tampilan layarnya buram
3,Apl nya kurang memuaskan dikarenakan iklannya yang banyak
3,"Saat live tv,iklan adsnya tolong dkurangi...berulang2 gak pasti."
3,Bisa nonton tv on line
3,KOK SEKARANG LOADING NYA LAMAA PADAHAL SINYAL BAGUS . Ku coba di aplikasi lain juga lancar² ajaaa .. mohon diperbaiki
3,Aplikasi spam iklan
3,Ngelag mulu padahal sinyal bagus
3,Tunggu y
3,cimta setelah cinta
3,Kenapa ya sekarang nonton di tv JD suka keluar sendiri aplikasi nya .. pdhl paketan aktif loh .. baru 5menit nonton lgsg keluar sendiri gitu ..
3,maaih banyak bug
3,V r
3,Sebenernya aplikasinya itu bagus tapi kayak fillm jalangkung pengabdi setan aja ga ada yg ku butuhin hanya itu film horor soalnya kalo horor paling penting si tolong di tambahin film nya ya kak kalo udh update nanti ku kasi bintang lima deh janji
3,Tampilin liga arab dong al nassr aja udah mau liat babang dodo
3,"Niat download buat nonton timnas, ternyata harus beli paket timnas dulu :). Mana tv rusak, liat di channel YouTube Indosiar enggak ada, pas liat channel yang lain malah php :). Btw itu cuma curhat."
3,Knp volumenya kadang keras sendiri ya
3,Kata nya sih movie ada di sini semua tapi di cari eh ada yg gk ada
3,Maksudnya kelebihan kuato pemain apa gimana
3,"mengatasi ini gmn sihh... nomer ini sudah digunakan, silahkan login melaui nomer hp"
3,Dpapo
3,"Film nya kurang seru,, sedikit... Buat film yang update terbaru donk admin 👍👍.. trims"
3,Sudah ada tanggapan dr admin Vidio tp harus screenrecord klo lg live kan ga bisa screenrecord min
3,Ok
3,Bgs
3,Oke
3,"Aplikasi ini sudah bagus namun,iklannya mengganggu sekali"
3,"Aplikasinya bagus sih Tapi makan datanya banyak kli biasanya saya 5 gb 5 hari baru habis, ini 2 hari langsung ludes paket saya tolong dikurangilah makan paketnya"
3,"Pake Web enak nonton, pas pake aplikasinya malah filmnya yg tadi gak ketemu, khan BANGKE !!🙄🙄 Dah uninstall !! Pake Webnya aja🙄🙄🙄"
3,"YAAMPUN PADAHAL APLIKASI NYA BAGUSS, TAPI SETIAP NONTON FILM ATAU SERIES SELALU NGE FREZZE CUMA SUARANYA DOANG ATAU NGGA LAYARNYA HITAM KE GANGGU BANGET, BUKAN CM SEKALI DUA KALI SERING BGTT APALAGI WAKTU ADEGAN YANG SERU TERUS NGE FREZZE KEK GANGGUUUUU. UDAH RISIH BANGET SUMPAH."
3,Lumayan lah
3,"Masukin kode voucher susah ga masuk masuk, aplikasinya ga kaya dulu sekarang ribet"
3,"gak bisa nonton tv show, kenapa harus paksa buat langganan sih baru bisa nonton tv show🤔"
3,Aplikasi nya kurang bagus saya kan udah berlangganan tapi gak bisa d pake
3,"Langganan trus d perpanjang, tapi tidak bis menonton konten premier"
3,"Bagus tapi,pilihan film masih sedikit,jadi kalo beli paket buat sebulan agak,rugi karena filmnya itu itu aja kurang uptudate"
3,Seru film nya tapi kalau yang berbayar gw kaga punya duit jadi ya ga jadi nonton
3,"Bagus,, tpi judul film nya kurang lengkap"
